emoji,words,category
🇬🇮,gibraltar,country flag
🇬🇱,greenland,country flag
🇬🇲,gambia,country flag
🇬🇳,guinea,country flag
🇬🇵,guadeloupe,country flag
🇬🇶,equatorial guinea,country flag
🇬🇷,greece,country flag
🇬🇸,south georgia & south sandwich islands,country flag
🇬🇹,guatemala,country flag
🇬🇺,guam,country flag
🇬🇼,guinea-bissau,country flag
🇬🇾,guyana,country flag
🇭🇰,hong kong sar china,country flag
🇭🇲,heard & mcdonald islands,country flag
🇭🇳,honduras,country flag
🇭🇷,croatia,country flag
🇭🇹,haiti,country flag
🇭🇺,hungary,country flag
🇮🇨,canary islands,country flag
🇮🇩,indonesia,country flag
🇮🇪,ireland,country flag
🇮🇱,israel,country flag
🇮🇲,isle of man,country flag
🇮🇳,india,country flag
🇮🇴,british indian ocean territory,country flag
🇮🇶,iraq,country flag
🇮🇷,iran,country flag
🇮🇸,iceland,country flag
🇮🇹,italy,country flag
🇯🇪,jersey,country flag
🇯🇲,jamaica,country flag
🇯🇴,jordan,country flag
🇯🇵,japan,country flag
🇰🇪,kenya,country flag
🇰🇬,kyrgyzstan,country flag
🇰🇭,cambodia,country flag
🇰🇮,kiribati,country flag
🇰🇲,comoros,country flag
🇰🇳,st. kitts & nevis,country flag
🇰🇵,north korea,country flag
🇰🇷,south korea,country flag
🇰🇼,kuwait,country flag
🇰🇾,cayman islands,country flag
🇰🇿,kazakhstan,country flag
🇱🇦,laos,country flag
🇱🇧,lebanon,country flag
🇱🇨,st. lucia,country flag
🇱🇮,liechtenstein,country flag
🇱🇰,sri lanka,country flag
🇱🇷,liberia,country flag
🇱🇸,lesotho,country flag
🇱🇹,lithuania,country flag
🇱🇺,luxembourg,country flag
🇱🇻,latvia,country flag
🇱🇾,libya,country flag
🇲🇦,morocco,country flag
🇲🇨,monaco,country flag
🇲🇩,moldova,country flag
🇲🇪,montenegro,country flag
🇲🇫,st. martin,country flag
🇲🇬,madagascar,country flag
🇲🇭,marshall islands,country flag
🇲🇰,north macedonia,country flag
🇲🇱,mali,country flag
🇲🇲,myanmar (burma),country flag
🇲🇳,mongolia,country flag
🇲🇴,macao sar china,country flag
🇲🇵,northern mariana islands,country flag
🇲🇶,martinique,country flag
🇲🇷,mauritania,country flag
🇲🇸,montserrat,country flag
🇲🇹,malta,country flag
🇲🇺,mauritius,country flag
🇲🇻,maldives,country flag
🇲🇼,malawi,country flag
🇲🇽,mexico,country flag
🇲🇾,malaysia,country flag
🇲🇿,mozambique,country flag
🇳🇦,namibia,country flag
🇳🇨,new caledonia,country flag
🇳🇪,niger,country flag
🇳🇫,norfolk island,country flag
🇳🇬,nigeria,country flag
🇳🇮,nicaragua,country flag
🇳🇱,netherlands,country flag
🇳🇴,norway,country flag
🇳🇵,nepal,country flag
🇳🇷,nauru,country flag
🇳🇺,niue,country flag
🇳🇿,new zealand,country flag
🇴🇲,oman,country flag
🇵🇦,panama,country flag
🇵🇪,peru,country flag
🇵🇫,french polynesia,country flag
🇵🇬,papua new guinea,country flag
🇵🇭,philippines,country flag
🇵🇰,pakistan,country flag
🇵🇱,poland,country flag
🇵🇲,st. pierre & miquelon,country flag
🇵🇳,pitcairn islands,country flag
🇵🇷,puerto rico,country flag
🇵🇸,palestinian territories,country flag
🇵🇹,portugal,country flag
🇵🇼,palau,country flag
🇵🇾,paraguay,country flag
🇶🇦,qatar,country flag
🇷🇪,réunion,country flag
🇷🇴,romania,country flag
🇷🇸,serbia,country flag
🇷🇺,russia,country flag
🇷🇼,rwanda,country flag
🇸🇦,saudi arabia,country flag
🇸🇧,solomon islands,country flag
🇸🇨,seychelles,country flag
🇸🇩,sudan,country flag
🇸🇪,sweden,country flag
🇸🇬,singapore,country flag
🇸🇭,st. helena,country flag
🇸🇮,slovenia,country flag
🇸🇯,svalbard & jan mayen,country flag
🇸🇰,slovakia,country flag
🇸🇱,sierra leone,country flag
🇸🇲,san marino,country flag
🇸🇳,senegal,country flag
🇸🇴,somalia,country flag
🇸🇷,suriname,country flag
🇸🇸,south sudan,country flag
🇸🇹,são tomé & príncipe,country flag
🇸🇻,el salvador,country flag
🇸🇽,sint maarten,country flag
🇸🇾,syria,country flag
🇸🇿,eswatini,country flag
🇹🇦,tristan da cunha,country flag
🇹🇨,turks & caicos islands,country flag
🇹🇩,chad,country flag
🇹🇫,french southern territories,country flag
🇹🇬,togo,country flag
🇹🇭,thailand,country flag
🇹🇯,tajikistan,country flag
🇹🇰,tokelau,country flag
🇹🇱,timor-leste,country flag
🇹🇲,turkmenistan,country flag
🇹🇳,tunisia,country flag
🇹🇴,tonga,country flag
🇹🇷,türkiye,country flag
🇹🇹,trinidad & tobago,country flag
🇹🇻,tuvalu,country flag
🇹🇼,taiwan,country flag
🇹🇿,tanzania,country flag
🇺🇦,ukraine,country flag
🇺🇬,uganda,country flag
🇺🇲,u.s. outlying islands,country flag
🇺🇳,united nations,country flag
🇺🇸,united states,country flag
🇺🇾,uruguay,country flag
🇺🇿,uzbekistan,country flag
🇻🇦,vatican city,country flag
🇻🇨,st. vincent & grenadines,country flag
🇻🇪,venezuela,country flag
🇻🇬,british virgin islands,country flag
🇻🇮,u.s. virgin islands,country flag
🇻🇳,vietnam,country flag
🇻🇺,vanuatu,country flag
🇼🇫,wallis & futuna,country flag
🇼🇸,samoa,country flag
🇽🇰,kosovo,country flag
🇾🇪,yemen,country flag
🇾🇹,mayotte,country flag
🇿🇦,south africa,country flag
🇿🇲,zambia,country flag
🇿🇼,zimbabwe,country flag
✂,scissors | cut | cutting | paper,office
✅,check mark button | check | checked | checkmark,symbols
✈,airplane | aeroplane | fly | flying,transport air
✉,envelope | e-mail | email | letter,mail
✊,raised fist | clenched | fist | hand,hand fingers closed
✋,raised hand | five | hand | high,hand fingers open
✌,victory hand | hand | peace | victory,hand fingers partial
✍,writing hand | hand | write | writing,hand prop
✏,pencil,writing
✒,black nib | black | nib | pen,writing
✔,check mark | check | checked | checkmark,symbols
✖,multiply | cancel | multiplication | sign,math
✝,latin cross | christ | christian | cross,religion
✡,star of david | david | jew | jewish,religion
✨,sparkles | asterisk | magic | sparkle,event
✳,eight-spoked asterisk | asterisk | eight-spoked,symbols
✴,eight-pointed star | asterisk | eight-pointed | star,symbols
❄,snowflake | cold | snow | weather,sky and weather
❇,sparkle | asterisk,symbols
❌,cross mark | cancel | cross | mark,symbols
❎,cross mark button | cross | mark | multiplication,symbols
❓,red question mark | mark | punctuation | question,punctuation
❔,white question mark | mark | outlined | punctuation,punctuation
❕,white exclamation mark | exclamation | mark | outlined,punctuation
❗,red exclamation mark | exclamation | mark | punctuation,punctuation
❣,heart exclamation | exclamation | heart | heavy,heart
❤,red heart | emotion | heart | love,heart
❤‍🔥,heart on fire | burn | fire | heart,heart
❤‍🩹,mending heart | healthier | heart | improving,heart
➕,plus,math
➖,minus | heavy | math | sign,math
➗,divide | division | heavy | math,math
➡,right arrow | arrow | cardinal | direction,arrow
➰,curly loop | curl | curly | loop,symbols
➿,double curly loop | curl | curly | double,symbols
⤴,right arrow curving up | arrow | curving | right,arrow
⤵,right arrow curving down | arrow | curving | down,arrow
⬅,left arrow | arrow | cardinal | direction,arrow
⬆,up arrow | arrow | cardinal | direction,arrow
⬇,down arrow | arrow | cardinal | direction,arrow
⬛,black large square | black | geometric | large,geometric
⬜,white large square | geometric | large | square,geometric
⭐,star | astronomy | medium | stars,sky and weather
⭕,hollow red circle | circle | heavy | hollow,symbols
🀄,mahjong red dragon | dragon | game | mahjong,game
🃏,joker | card | game | wildcard,game
🌀,cyclone | dizzy | hurricane | twister,sky and weather
🌁,foggy | fog,place other
🌂,closed umbrella | closed | clothing | rain,sky and weather
🌃,night with stars | night | star | stars,place other
🌄,sunrise over mountains | morning | mountains | over,place other
🌅,sunrise | morning | nature | sun,place other
🌆,cityscape at dusk | at | building | city,place other
🌇,sunset | building | dusk | sun,place other
🌈,rainbow | gay | genderqueer | glbt,sky and weather
🌉,bridge at night | at | bridge | night,place other
🌊,water wave | nature | ocean | surf,sky and weather
🌋,volcano | eruption | mountain | nature,place geographic
🌌,milky way | milky | space | way,sky and weather
🌍,globe showing europe-africa | africa | earth | europe,place map
🌎,globe showing americas | americas | earth | globe,place map
🌏,globe showing asia-australia | asia | asia-australia | australia,place map
🌐,globe with meridians | earth | globe | internet,place map
🌑,new moon | dark | moon | new,sky and weather
🌒,waxing crescent moon | crescent | dreams | moon,sky and weather
🌓,first quarter moon | first | moon | quarter,sky and weather
🌔,waxing gibbous moon | gibbous | moon | space,sky and weather
🌕,full moon | full | moon | space,sky and weather
🌖,waning gibbous moon | gibbous | moon | space,sky and weather
🌗,last quarter moon | last | moon | quarter,sky and weather
🌘,waning crescent moon | crescent | moon | space,sky and weather
🌙,crescent moon | crescent | moon | ramadan,sky and weather
🌚,new moon face | face | moon | new,sky and weather
🌛,first quarter moon face | face | first | moon,sky and weather
🌜,last quarter moon face | dreams | face | last,sky and weather
🌝,full moon face | bright | face | full,sky and weather
🌞,sun with face | beach | bright | day,sky and weather
🌟,glowing star | glittery | glow | glowing,sky and weather
🌠,shooting star | falling | night | shooting,sky and weather
🌡,thermometer | weather,sky and weather
🌤,sun behind small cloud | behind | cloud | sun,sky and weather
🌥,sun behind large cloud | behind | cloud | sun,sky and weather
🌦,sun behind rain cloud | behind | cloud | rain,sky and weather
🌧,cloud with rain | cloud | rain | weather,sky and weather
🌨,cloud with snow | cloud | cold | snow,sky and weather
🌩,cloud with lightning | cloud | lightning | weather,sky and weather
🌪,tornado | cloud | weather | whirlwind,sky and weather
🌫,fog | cloud | weather,sky and weather
🌬,wind face | blow | cloud | face,sky and weather
🌭,hot dog | dog | frankfurter | hot,food prepared
🌮,taco | mexican,food prepared
🌯,burrito | mexican | wrap,food prepared
🌰,chestnut | almond | plant,food vegetable
🌱,seedling | plant | sapling | sprout,plant other
🌲,evergreen tree | christmas | evergreen | forest,plant other
🌳,deciduous tree | deciduous | forest | green,plant other
🌴,palm tree | beach | palm | plant,plant other
🌵,cactus | desert | drought | nature,plant other
🌶,hot pepper | hot | pepper,food vegetable
🌷,tulip | blossom | flower | growth,plant flower
🌸,cherry blossom | blossom | cherry | flower,plant flower
🌹,rose | beauty | elegant | flower,plant flower
🌺,hibiscus | flower | plant,plant flower
🌻,sunflower | flower | outdoors | plant,plant flower
🌼,blossom | buttercup | dandelion | flower,plant flower
🌽,ear of corn | corn | crops | ear,food vegetable
🌾,sheaf of rice | ear | grain | grains,plant other
🌿,herb | leaf | plant,plant other
🍀,four leaf clover | four | clover | four-leaf,plant other
🍁,maple leaf | falling | leaf | maple,plant other
🍂,fallen leaf | autumn | fall | fallen,plant other
🍃,leaf fluttering in wind | blow | flutter | fluttering,plant other
🍄,mushroom | fungus | toadstool,plant other
🍄‍🟫,brown mushroom | food | fungi | fungus,food vegetable
🍅,tomato | food | fruit | vegetable,food fruit
🍆,eggplant | aubergine | vegetable,food vegetable
🍇,grapes | dionysus | fruit | grape,food fruit
🍈,melon | cantaloupe | fruit,food fruit
🍉,watermelon | fruit,food fruit
🍊,tangerine | citrus | fruit | nectarine,food fruit
🍋,lemon | citrus | fruit | sour,food fruit
🍋‍🟩,lime | acidity | citrus | cocktail,food fruit
🍌,banana | fruit | potassium,food fruit
🍍,pineapple | colada | fruit | pina,food fruit
🍎,red apple | apple | diet | food,food fruit
🍏,green apple | apple | fruit | green,food fruit
🍐,pear | fruit,food fruit
🍑,peach | fruit,food fruit
🍒,cherries | berries | cherry | fruit,food fruit
🍓,strawberry | berry | fruit,food fruit
🍔,hamburger | burger | eat | fast,food prepared
🍕,pizza | cheese | food | hungry,food prepared
🍖,meat on bone | bone | meat,food prepared
🍗,poultry leg | bone | chicken | drumstick,food prepared
🍘,rice cracker | cracker | food | rice,food asian
🍙,rice ball | ball | food | japanese,food asian
🍚,cooked rice | cooked | food | rice,food asian
🍛,curry rice | curry | food | rice,food asian
🍜,steaming bowl | bowl | chopsticks | food,food asian
🍝,spaghetti | food | meatballs | pasta,food asian
🍞,bread | carbs | food | grain,food prepared
🍟,french fries | fast | food | french,food prepared
🍠,roasted sweet potato | food | potato | roasted,food asian
🍡,dango | dessert | japanese | skewer,food asian
🍢,oden | food | kebab | restaurant,food asian
🍣,sushi | food,food asian
🍤,fried shrimp | fried | prawn | shrimp,food asian
🍥,fish cake with swirl | cake | fish | food,food asian
🍦,soft ice cream | cream | dessert | food,food sweet
🍧,shaved ice | dessert | ice | restaurant,food sweet
🍨,ice cream | cream | dessert | food,food sweet
🍩,doughnut | breakfast | dessert | donut,food sweet
🍪,cookie | chip | chocolate | dessert,food sweet
🍫,chocolate bar | bar | candy | chocolate,food sweet
🍬,candy | cavities | dessert | halloween,food sweet
🍭,lollipop | candy | dessert | food,food sweet
🍮,custard | dessert | pudding | sweet,food sweet
🍯,honey pot | barrel | bear | food,food sweet
🍰,shortcake | cake | dessert | pastry,food sweet
🍱,bento box | bento | box | food,food asian
🍲,pot of food | food | pot | soup,food prepared
🍳,cooking | breakfast | easy | egg,food prepared
🍴,fork and knife | breakfast | breaky | cooking,dishware
🍵,teacup without handle | beverage | cup | drink,drink
🍶,sake | bar | beverage | bottle,drink
🍷,wine glass | alcohol | bar | beverage,drink
🍸,cocktail glass | alcohol | bar | booze,drink
🍹,tropical drink | alcohol | bar | booze,drink
🍺,beer mug | alcohol | ale | bar,drink
🍻,clinking beer mugs | alcohol | bar | beer,drink
🍼,baby bottle | babies | baby | birth,drink
🍽,fork and knife with plate | cooking | dinner | eat,dishware
🍾,bottle with popping cork | bar | bottle | cork,drink
🍿,popcorn | corn | movie | pop,food prepared
🎀,ribbon | celebration,event
🎁,wrapped gift | birthday | bow | box,event
🎂,birthday cake | bday | birthday | cake,food sweet
🎃,jack-o-lantern | celebration | halloween | jack,event
🎄,christmas tree | celebration | christmas | tree,event
🎅,santa claus | celebration | christmas | claus,person fantasy
🎆,fireworks | boom | celebration | entertainment,event
🎇,sparkler | boom | celebration | fireworks,event
🎈,balloon | birthday | celebrate | celebration,event
🎉,party popper | awesome | birthday | celebrate,event
🎊,confetti ball | ball | celebrate | celebration,event
🎋,tanabata tree | banner | celebration | japanese,event
🎌,crossed flags | celebration | cross | crossed,flag
🎍,pine decoration | bamboo | celebration | decoration,event
🎎,japanese dolls | celebration | doll | dolls,event
🎏,carp streamer | carp | celebration | streamer,event
🎐,wind chime | bell | celebration | chime,event
🎑,moon viewing ceremony | celebration | ceremony | moon,event
🎒,backpack | backpacking | bag | bookbag,clothing
🎓,graduation cap | cap | celebration | clothing,clothing
🎖,military medal | award | celebration | medal,award medal
🎗,reminder ribbon | celebration | reminder | ribbon,event
🎙,studio microphone | mic | microphone | music,music
🎚,level slider | level | music | slider,music
🎛,control knobs | control | knobs | music,music
🎞,film frames | cinema | film | frames,light and video
🎟,admission tickets | admission | ticket | tickets,event
🎠,carousel horse | carousel | entertainment | horse,place other
🎡,ferris wheel | amusement | ferris | park,place other
🎢,roller coaster | amusement | coaster | park,place other
🎣,fishing pole | entertainment | fish | fishing,sport
🎤,microphone | karaoke | mic | music,music
🎥,movie camera | bollywood | camera | cinema,light and video
🎦,cinema | camera | film | movie,av symbol
🎧,headphone | earbud | sound,music
🎨,artist palette | art | artist | artsy,arts and crafts
🎩,top hat | clothes | clothing | fancy,clothing
🎪,circus tent | circus | tent,place other
🎫,ticket | admission | stub,event
🎬,clapper board | action | board | clapper,light and video
🎭,performing arts | actor | actress | art,arts and crafts
🎮,video game | controller | entertainment | game,game
🎯,bullseye | bull | dart | direct,game
🎰,slot machine | casino | gamble | gambling,game
🎱,pool 8 ball | eight | 8ball | ball,game
🎲,game die | dice | die | entertainment,game
🎳,bowling | ball | game | sport,sport
🎴,flower playing cards | card | cards | flower,game
🎵,musical note | music | musical | note,music
🎶,musical notes | music | musical | note,music
🎷,saxophone | instrument | music | sax,musical instrument
🎸,guitar | instrument | music | strat,musical instrument
🎹,musical keyboard | instrument | keyboard | music,musical instrument
🎺,trumpet | instrument | music,musical instrument
🎻,violin | instrument | music,musical instrument
🎼,musical score | music | musical | note,music
🎽,running shirt | athletics | running | sash,sport
🎾,tennis | ball | racquet | sport,sport
🎿,skis | ski | snow | sport,sport
🏀,basketball | ball | hoop | sport,sport
🏁,chequered flag | checkered | chequered | finish,flag
🏂,snowboarder | ski | snow | snowboard,person sport
🏃,person running | fast | hurry | marathon,person activity
🏃‍♀,woman running | fast | hurry | marathon,person activity
🏃‍♀‍➡,facing | fast | hurry | marathon,person activity
🏃‍♂,man running | fast | hurry | man,person activity
🏃‍♂‍➡,facing | fast | hurry | man,person activity
🏃‍➡,facing | fast | hurry | marathon,person activity
🏄,person surfing | beach | ocean | sport,person sport
🏄‍♀,woman surfing | beach | ocean | sport,person sport
🏄‍♂,man surfing | beach | man | ocean,person sport
🏅,sports medal | award | gold | medal,award medal
🏆,trophy | champion | champs | prize,award medal
🏇,horse racing | horse | jockey | racehorse,person sport
🏈,american football | american | ball | bowl,sport
🏉,rugby football | ball | football | rugby,sport
🏊,person swimming | freestyle | sport | swim,person sport
🏊‍♀,woman swimming | freestyle | man | sport,person sport
🏊‍♂,man swimming | freestyle | man | sport,person sport
🏋,person lifting weights | barbell | bodybuilder | deadlift,person sport
🏋‍♀,woman lifting weights | barbell | bodybuilder | deadlift,person sport
🏋‍♂,man lifting weights | barbell | bodybuilder | deadlift,person sport
🏌,person golfing | ball | birdie | caddy,person sport
🏌‍♀,woman golfing | ball | birdie | caddy,person sport
🏌‍♂,man golfing | ball | birdie | caddy,person sport
🏍,motorcycle | racing,transport ground
🏎,racing car | car | racing | zoom,transport ground
🏏,cricket game | ball | bat | cricket,sport
🏐,volleyball | ball | game,sport
🏑,field hockey | ball | field | game,sport
🏒,ice hockey | game | hockey | ice,sport
🏓,ping pong | ball | bat | game,sport
🏔,snow-capped mountain | cold | mountain | snow,place geographic
🏕,camping,place geographic
🏖,beach with umbrella | beach | umbrella,place geographic
🏗,building construction | building | construction | crane,place building
🏘,houses | house,place building
🏙,cityscape | city,place other
🏚,derelict house | derelict | home | house,place building
🏛,classical building | building | classical,place building
🏜,desert,place geographic
🏝,desert island | desert | island,place geographic
🏞,national park | national | park,place geographic
🏟,stadium,place building
🏠,house | building | country | heart,place building
🏡,house with garden | building | country | garden,place building
🏢,office building | building | city | cubical,place building
🏣,japanese post office | building | japanese | office,place building
🏤,post office | building | european | office,place building
🏥,hospital | building | doctor | medicine,place building
🏦,bank | building,place building
🏧,atm sign | atm | automated | bank,transport sign
🏨,hotel | building,place building
🏩,love hotel | building | hotel | love,place building
🏪,convenience store | building | convenience | hours,place building
🏫,school | building,place building
🏬,department store | building | department | store,place building
🏭,factory | building,place building
🏮,red paper lantern | bar | lantern | light,light and video
🏯,japanese castle | building | castle | japanese,place building
🏰,castle | building | european,place building
🏳,white flag | waving | white,flag
🏳‍⚧,transgender flag | blue | light | pink,flag
🏳‍🌈,rainbow flag | bisexual | gay | genderqueer,flag
🏴,black flag | black | waving,flag
🏴󠁧󠁢󠁥󠁮󠁧󠁿,england,subdivision flag
🏴󠁧󠁢󠁳󠁣󠁴󠁿,scotland,subdivision flag
🏴󠁧󠁢󠁷󠁬󠁳󠁿,wales,subdivision flag
🏴‍☠,pirate flag | jolly | pirate | plunder,flag
🏵,rosette | plant,plant flower
🏷,label | tag,book paper
🏸,badminton | birdie | game | racquet,sport
🏹,bow and arrow | archer | archery | arrow,tool
🏺,amphora | aquarius | cooking | drink,dishware
🐀,rat | animal,animal mammal
🐁,mouse | animal | animals,animal mammal
🐂,ox | animal | animals | bull,animal mammal
🐃,water buffalo | animal | buffalo | water,animal mammal
🐄,cow | animal | animals | farm,animal mammal
🐅,tiger | animal | big | cat,animal mammal
🐆,leopard | animal | big | cat,animal mammal
🐇,rabbit | animal | bunny | pet,animal mammal
🐈,cat | animal | animals | cats,animal mammal
🐈‍⬛,black cat | animal | black | cat,animal mammal
🐉,dragon | animal | fairy | fairytale,animal reptile
🐊,crocodile | animal | zoo,animal reptile
🐋,whale | animal | beach | ocean,animal marine
🐌,snail | animal | escargot | garden,animal bug
🐍,snake | animal | bearer | ophiuchus,animal reptile
🐎,horse | animal | equestrian | farm,animal mammal
🐏,ram | animal | aries | horns,animal mammal
🐐,goat | animal | capricorn | farm,animal mammal
🐑,ewe | animal | baa | farm,animal mammal
🐒,monkey | animal | banana,animal mammal
🐓,rooster | animal | bird | ornithology,animal bird
🐔,chicken | animal | bird | ornithology,animal bird
🐕,dog | animal | animals | dogs,animal mammal
🐕‍🦺,service dog | accessibility | animal | assistance,animal mammal
🐖,pig | animal | bacon | farm,animal mammal
🐗,boar | animal | pig,animal mammal
🐘,elephant | animal,animal mammal
🐙,octopus | animal | creature | ocean,animal marine
🐚,spiral shell | animal | beach | conch,animal marine
🐛,bug | animal | garden | insect,animal bug
🐜,ant | animal | garden | insect,animal bug
🐝,honeybee | animal | bee | bumblebee,animal bug
🐞,lady beetle | animal | beetle | garden,animal bug
🐟,fish | animal | dinner | fishes,animal marine
🐠,tropical fish | animal | fish | fishes,animal marine
🐡,blowfish | animal | fish,animal marine
🐢,turtle | animal | terrapin | tortoise,animal reptile
🐣,hatching chick | animal | baby | bird,animal bird
🐤,baby chick | animal | baby | bird,animal bird
🐥,front-facing baby chick | animal | baby | bird,animal bird
🐦,bird | animal | ornithology,animal bird
🐦‍⬛,black bird | animal | beak | bird,animal bird
🐦‍🔥,phoenix | ascend | ascension | emerge,animal bird
🐧,penguin | animal | antarctica | bird,animal bird
🐨,koala | animal | australia | bear,animal mammal
🐩,poodle | animal | dog | fluffy,animal mammal
🐪,camel | animal | desert | dromedary,animal mammal
🐫,two-hump camel | animal | bactrian | camel,animal mammal
🐬,dolphin | animal | beach | flipper,animal marine
🐭,mouse face | animal | face | mouse,animal mammal
🐮,cow face | animal | cow | face,animal mammal
🐯,tiger face | animal | big | cat,animal mammal
🐰,rabbit face | animal | bunny | face,animal mammal
🐱,cat face | animal | cat | face,animal mammal
🐲,dragon face | animal | dragon | face,animal reptile
🐳,spouting whale | animal | beach | face,animal marine
🐴,horse face | animal | dressage | equine,animal mammal
🐵,monkey face | animal | banana | face,animal mammal
🐶,dog face | adorbs | animal | dog,animal mammal
🐷,pig face | animal | bacon | face,animal mammal
🐸,frog | animal | face,animal amphibian
🐹,hamster | animal | face | pet,animal mammal
🐺,wolf | animal | face,animal mammal
🐻,bear | animal | face | grizzly,animal mammal
🐻‍❄,polar bear | animal | arctic | bear,animal mammal
🐼,panda | animal | bamboo | face,animal mammal
🐽,pig nose | animal | face | farm,animal mammal
🐾,paw prints | feet | paw | paws,animal mammal
🐿,chipmunk | animal | squirrel,animal mammal
👀,eyes | body | eye | face,body parts
👁,eye | one | body,body parts
👁‍🗨,eye in speech bubble | balloon | bubble | eye,emotion
👂,ear | body | ears | hear,body parts
👃,nose | body | noses | nosey,body parts
👄,mouth | beauty | body | kiss,body parts
👅,tongue | body | lick | slurp,body parts
👆,backhand index pointing up | backhand | finger | hand,hand single finger
👇,backhand index pointing down | backhand | down | finger,hand single finger
👈,backhand index pointing left | backhand | finger | hand,hand single finger
👉,backhand index pointing right | backhand | finger | hand,hand single finger
👊,oncoming fist | absolutely | agree | boom,hand fingers closed
👋,waving hand | bye | cya | g2g,hand fingers open
👌,ok hand | awesome | bet | dope,hand fingers partial
👍,thumbs up | good | hand | like,hand fingers closed
👎,thumbs down | bad | dislike | down,hand fingers closed
👏,clapping hands | applause | approval | awesome,hands
👐,open hands | hand | hands | hug,hands
👑,crown | clothing | family | king,clothing
👒,clothes | clothing | garden | hat,clothing
👓,glasses | clothing | eye | eyeglasses,clothing
👔,necktie | clothing | employed | serious,clothing
👕,t-shirt | blue | casual | clothes,clothing
👖,jeans | blue | casual | clothes,clothing
👗,dress | clothes | clothing | dressed,clothing
👘,kimono | clothing | comfortable,clothing
👙,bikini | bathing | beach | clothing,clothing
👚,blouse | clothes | clothing | collar,clothing
👛,purse | clothes | clothing | coin,clothing
👜,handbag | bag | clothes | clothing,clothing
👝,clutch bag | bag | clothes | clothing,clothing
👞,brown | clothes | clothing | feet,clothing
👟,running shoe | athletic | clothes | clothing,clothing
👠,high-heeled shoe | clothes | clothing | dress,clothing
👡,clothing | sandal | shoe | woman,clothing
👢,boot | clothes | clothing | dress,clothing
👣,footprints | barefoot | clothing | footprint,person symbol
👤,bust in silhouette | bust | mysterious | shadow,person symbol
👥,busts in silhouette | bff | bust | busts,person symbol
👦,boy | bright-eyed | child | grandson,person
👧,girl | bright-eyed | child | daughter,person
👨,man | adult | bro,person
👨‍⚕,man health worker | doctor | health | healthcare,person role
👨‍⚖,man judge | judge | justice | law,person role
👨‍✈,man pilot | man | pilot | plane,person role
👨‍❤‍👨,anniversary | babe | bae | couple,family
👨‍❤‍💋‍👨,anniversary | babe | bae | couple,family
👨‍🌾,man farmer | farmer | gardener | man,person role
👨‍🍳,man cook | chef | cook | man,person role
👨‍🍼,man feeding baby | baby | dad | father,person role
👨‍🎓,man student | graduate | man | student,person role
👨‍🎤,man singer | actor | entertainer | man,person role
👨‍🎨,man artist | artist | man | palette,person role
👨‍🏫,man teacher | instructor | lecturer | man,person role
👨‍🏭,man factory worker | assembly | factory | industrial,person role
👨‍👦,boy | child | family | man,family
👨‍👦‍👦,boy | child | family | man,family
👨‍👧,child | family | girl | man,family
👨‍👧‍👦,boy | child | family | girl,family
👨‍👧‍👧,child | family | girl | man,family
👨‍👨‍👦,boy | child | family | man,family
👨‍👨‍👦‍👦,boy | child | family | man,family
👨‍👨‍👧,child | family | girl | man,family
👨‍👨‍👧‍👦,boy | child | family | girl,family
👨‍👨‍👧‍👧,child | family | girl | man,family
👨‍👩‍👦,boy | child | family | man,family
👨‍👩‍👦‍👦,boy | child | family | man,family
👨‍👩‍👧,child | family | girl | man,family
👨‍👩‍👧‍👦,boy | child | family | girl,family
👨‍👩‍👧‍👧,child | family | girl | man,family
👨‍💻,man technologist | coder | computer | developer,person role
👨‍💼,man office worker | architect | business | man,person role
👨‍🔧,man mechanic | electrician | man | mechanic,person role
👨‍🔬,man scientist | biologist | chemist | engineer,person role
👨‍🦯,man with white cane | accessibility | blind | cane,person activity
👨‍🦯‍➡,accessibility | blind | cane | facing,person activity
👨‍🦰,adult | bro | man | red hair,person
👨‍🦱,adult | bro | curly hair | man,person
👨‍🦲,adult | bald | bro | man,person
👨‍🦳,adult | bro | man | white hair,person
👨‍🦼,man in motorized wheelchair | accessibility | man | motorized,person activity
👨‍🦼‍➡,accessibility | facing | man | motorized,person activity
👨‍🦽,man in manual wheelchair | accessibility | man | manual,person activity
👨‍🦽‍➡,accessibility | facing | man | manual,person activity
👨‍🚀,man astronaut | astronaut | man | rocket,person role
👨‍🚒,man firefighter | fire | firefighter | firetruck,person role
👩,woman | adult | lady,person
👩‍⚕,woman health worker | doctor | health | healthcare,person role
👩‍⚖,woman judge | judge | justice | law,person role
👩‍✈,woman pilot | pilot | plane | woman,person role
👩‍❤‍👨,anniversary | babe | bae | couple,family
👩‍❤‍👩,anniversary | babe | bae | couple,family
👩‍❤‍💋‍👨,anniversary | babe | bae | couple,family
👩‍❤‍💋‍👩,anniversary | babe | bae | couple,family
👩‍🌾,woman farmer | farmer | gardener | rancher,person role
👩‍🍳,woman cook | chef | cook | woman,person role
👩‍🍼,woman feeding baby | baby | feed | feeding,person role
👩‍🎓,woman student | graduate | student | woman,person role
👩‍🎤,woman singer | actor | entertainer | rock,person role
👩‍🎨,woman artist | artist | palette | woman,person role
👩‍🏫,woman teacher | instructor | lecturer | professor,person role
👩‍🏭,woman factory worker | assembly | factory | industrial,person role
👩‍👦,boy | child | family | woman,family
👩‍👦‍👦,boy | child | family | woman,family
👩‍👧,child | family | girl | woman,family
