emoji,tts,keywords,all_words,category,group,subgroup,unicode_name
💁‍♀,woman tipping hand,dark skin tone | fetch | flick | flip | gossip | hand | sarcasm | sarcastic | sassy | seriously | tipping | whatever | woman,woman tipping hand | dark skin tone | fetch | flick | flip | gossip | hand | sarcasm | sarcastic | sassy | seriously | tipping | whatever | woman,person gesture,People & Body,person-gesture,woman tipping hand
💁‍♂,man tipping hand,dark skin tone | fetch | flick | flip | gossip | hand | man | sarcasm | sarcastic | sassy | seriously | tipping | whatever,man tipping hand | dark skin tone | fetch | flick | flip | gossip | hand | man | sarcasm | sarcastic | sassy | seriously | tipping | whatever,person gesture,People & Body,person-gesture,man tipping hand
💂,guard,buckingham | dark skin tone | guard | helmet | london | palace,guard | buckingham | dark skin tone | guard | helmet | london | palace,person role,People & Body,person-role,guard
💂‍♀,woman guard,buckingham | dark skin tone | guard | helmet | london | palace | woman,woman guard | buckingham | dark skin tone | guard | helmet | london | palace | woman,person role,People & Body,person-role,woman guard
💂‍♂,man guard,buckingham | dark skin tone | guard | helmet | london | man | palace,man guard | buckingham | dark skin tone | guard | helmet | london | man | palace,person role,People & Body,person-role,man guard
💃,woman dancing,dance | dancer | dancing | dark skin tone | elegant | festive | flair | flamenco | groove | let’s | salsa | tango | woman,woman dancing | dance | dancer | dancing | dark skin tone | elegant | festive | flair | flamenco | groove | let’s | salsa | tango | woman,person activity,People & Body,person-activity,woman dancing
💄,lipstick,cosmetics | date | lipstick | makeup,lipstick | cosmetics | date | lipstick | makeup,clothing,Objects,clothing,lipstick
💅,nail polish,bored | care | cosmetics | dark skin tone | done | makeup | manicure | nail | polish | whatever,nail polish | bored | care | cosmetics | dark skin tone | done | makeup | manicure | nail | polish | whatever,hand prop,People & Body,hand-prop,nail polish
💆,person getting massage,dark skin tone | face | getting | headache | massage | person | relax | relaxing | salon | soothe | spa | tension | therapy | treatment,person getting massage | dark skin tone | face | getting | headache | massage | person | relax | relaxing | salon | soothe | spa | tension | therapy | treatment,person activity,People & Body,person-activity,person getting massage
💆‍♀,woman getting massage,dark skin tone | face | getting | headache | massage | relax | relaxing | salon | soothe | spa | tension | therapy | treatment | woman,woman getting massage | dark skin tone | face | getting | headache | massage | relax | relaxing | salon | soothe | spa | tension | therapy | treatment | woman,person activity,People & Body,person-activity,woman getting massage
💆‍♂,man getting massage,dark skin tone | face | getting | headache | man | massage | relax | relaxing | salon | soothe | spa | tension | therapy | treatment,man getting massage | dark skin tone | face | getting | headache | man | massage | relax | relaxing | salon | soothe | spa | tension | therapy | treatment,person activity,People & Body,person-activity,man getting massage
💇,person getting haircut,barber | beauty | chop | cosmetology | cut | dark skin tone | groom | hair | haircut | parlor | person | shears | style,person getting haircut | barber | beauty | chop | cosmetology | cut | dark skin tone | groom | hair | haircut | parlor | person | shears | style,person activity,People & Body,person-activity,person getting haircut
💇‍♀,woman getting haircut,barber | beauty | chop | cosmetology | cut | dark skin tone | groom | hair | haircut | parlor | person | shears | style | woman,woman getting haircut | barber | beauty | chop | cosmetology | cut | dark skin tone | groom | hair | haircut | parlor | person | shears | style | woman,person activity,People & Body,person-activity,woman getting haircut
💇‍♂,man getting haircut,barber | beauty | chop | cosmetology | cut | dark skin tone | groom | hair | haircut | man | parlor | person | shears | style,man getting haircut | barber | beauty | chop | cosmetology | cut | dark skin tone | groom | hair | haircut | man | parlor | person | shears | style,person activity,People & Body,person-activity,man getting haircut
💈,barber pole,barber | cut | fresh | haircut | pole | shave,barber pole | barber | cut | fresh | haircut | pole | shave,place other,Travel & Places,place-other,barber pole
💉,syringe,doctor | flu | medicine | needle | shot | sick | syringe | tool | vaccination,syringe | doctor | flu | medicine | needle | shot | sick | syringe | tool | vaccination,medical,Objects,medical,syringe
💊,pill,doctor | drugs | medicated | medicine | pill | pills | sick | vitamin,pill | doctor | drugs | medicated | medicine | pill | pills | sick | vitamin,medical,Objects,medical,pill
💋,kiss mark,dating | emotion | heart | kiss | kissing | lips | mark | romance | sexy,kiss mark | dating | emotion | heart | kiss | kissing | lips | mark | romance | sexy,emotion,Smileys & Emotion,emotion,kiss mark
💌,love letter,heart | letter | love | mail | romance | valentine,love letter | heart | letter | love | mail | romance | valentine,heart,Smileys & Emotion,heart,love letter
💍,ring,diamond | engaged | engagement | married | ring | romance | shiny | sparkling | wedding,ring | diamond | engaged | engagement | married | ring | romance | shiny | sparkling | wedding,clothing,Objects,clothing,ring
💎,gem stone,diamond | engagement | gem | jewel | money | romance | stone | wedding,gem stone | diamond | engagement | gem | jewel | money | romance | stone | wedding,clothing,Objects,clothing,gem stone
💏,kiss,anniversary | babe | bae | couple | dark skin tone | date | dating | heart | kiss | love | mwah | person | romance | together | xoxo,kiss | anniversary | babe | bae | couple | dark skin tone | date | dating | heart | kiss | love | mwah | person | romance | together | xoxo,family,People & Body,family,kiss
💐,bouquet,anniversary | birthday | bouquet | date | flower | love | plant | romance,bouquet | anniversary | birthday | bouquet | date | flower | love | plant | romance,plant flower,Animals & Nature,plant-flower,bouquet
💑,couple with heart,anniversary | babe | bae | couple | dark skin tone | dating | heart | kiss | love | person | relationship | romance | together | you,couple with heart | anniversary | babe | bae | couple | dark skin tone | dating | heart | kiss | love | person | relationship | romance | together | you,family,People & Body,family,couple with heart
💒,wedding,chapel | hitched | nuptials | romance | wedding,wedding | chapel | hitched | nuptials | romance | wedding,place building,Travel & Places,place-building,wedding
💓,beating heart,143 | beating | cardio | emotion | heart | heartbeat | ily | love | pulsating | pulse,beating heart | 143 | beating | cardio | emotion | heart | heartbeat | ily | love | pulsating | pulse,heart,Smileys & Emotion,heart,beating heart
💔,broken heart,break | broken | crushed | emotion | heart | heartbroken | lonely | sad,broken heart | break | broken | crushed | emotion | heart | heartbroken | lonely | sad,heart,Smileys & Emotion,heart,broken heart
💕,two hearts,143 | anniversary | date | dating | emotion | heart | hearts | ily | kisses | love | loving | two | xoxo,two hearts | 143 | anniversary | date | dating | emotion | heart | hearts | ily | kisses | love | loving | two | xoxo,heart,Smileys & Emotion,heart,two hearts
💖,sparkling heart,143 | emotion | excited | good | heart | ily | kisses | morning | night | sparkle | sparkling | xoxo,sparkling heart | 143 | emotion | excited | good | heart | ily | kisses | morning | night | sparkle | sparkling | xoxo,heart,Smileys & Emotion,heart,sparkling heart
💗,growing heart,143 | emotion | excited | growing | heart | heartpulse | ily | kisses | muah | nervous | pulse | xoxo,growing heart | 143 | emotion | excited | growing | heart | heartpulse | ily | kisses | muah | nervous | pulse | xoxo,heart,Smileys & Emotion,heart,growing heart
💘,heart with arrow,143 | adorbs | arrow | cupid | date | emotion | heart | ily | love | romance | valentine,heart with arrow | 143 | adorbs | arrow | cupid | date | emotion | heart | ily | love | romance | valentine,heart,Smileys & Emotion,heart,heart with arrow
💙,blue heart,143 | blue | emotion | heart | ily | love | romance,blue heart | 143 | blue | emotion | heart | ily | love | romance,heart,Smileys & Emotion,heart,blue heart
💚,green heart,143 | emotion | green | heart | ily | love | romantic,green heart | 143 | emotion | green | heart | ily | love | romantic,heart,Smileys & Emotion,heart,green heart
💛,yellow heart,143 | cardiac | emotion | heart | ily | love | yellow,yellow heart | 143 | cardiac | emotion | heart | ily | love | yellow,heart,Smileys & Emotion,heart,yellow heart
💜,purple heart,143 | bestest | emotion | heart | ily | love | purple,purple heart | 143 | bestest | emotion | heart | ily | love | purple,heart,Smileys & Emotion,heart,purple heart
💝,heart with ribbon,143 | anniversary | emotion | heart | ily | kisses | ribbon | valentine | xoxo,heart with ribbon | 143 | anniversary | emotion | heart | ily | kisses | ribbon | valentine | xoxo,heart,Smileys & Emotion,heart,heart with ribbon
💞,revolving hearts,143 | adorbs | anniversary | emotion | heart | hearts | revolving,revolving hearts | 143 | adorbs | anniversary | emotion | heart | hearts | revolving,heart,Smileys & Emotion,heart,revolving hearts
💟,heart decoration,143 | decoration | emotion | heart | hearth | purple | white,heart decoration | 143 | decoration | emotion | heart | hearth | purple | white,heart,Smileys & Emotion,heart,heart decoration
💠,diamond with a dot,comic | diamond | dot | geometric,diamond with a dot | comic | diamond | dot | geometric,geometric,Symbols,geometric,diamond with a dot
💡,light bulb,bulb | comic | electric | idea | light,light bulb | bulb | comic | electric | idea | light,light and video,Objects,light & video,light bulb
💢,anger symbol,anger | angry | comic | mad | symbol | upset,anger symbol | anger | angry | comic | mad | symbol | upset,emotion,Smileys & Emotion,emotion,anger symbol
💣,bomb,bomb | boom | comic | dangerous | explosion | hot,bomb | bomb | boom | comic | dangerous | explosion | hot,tool,Objects,tool,bomb
💤,ZZZ,comic | good | goodnight | night | sleep | sleeping | sleepy | tired | zzz,ZZZ | comic | good | goodnight | night | sleep | sleeping | sleepy | tired | zzz,emotion,Smileys & Emotion,emotion,ZZZ
💥,collision,bomb | boom | collide | collision | comic | explode,collision | bomb | boom | collide | collision | comic | explode,emotion,Smileys & Emotion,emotion,collision
💦,sweat droplets,comic | drip | droplet | droplets | drops | splashing | squirt | sweat | water | wet | work | workout,sweat droplets | comic | drip | droplet | droplets | drops | splashing | squirt | sweat | water | wet | work | workout,emotion,Smileys & Emotion,emotion,sweat droplets
💧,droplet,cold | comic | drop | droplet | nature | sad | sweat | tear | water | weather,droplet | cold | comic | drop | droplet | nature | sad | sweat | tear | water | weather,sky and weather,Travel & Places,sky & weather,droplet
💨,dashing away,away | cloud | comic | dash | dashing | fart | fast | go | gone | gotta | running | smoke,dashing away | away | cloud | comic | dash | dashing | fart | fast | go | gone | gotta | running | smoke,emotion,Smileys & Emotion,emotion,dashing away
💩,pile of poo,bs | comic | doo | dung | face | fml | monster | pile | poo | poop | smelly | smh | stink | stinks | stinky | turd,pile of poo | bs | comic | doo | dung | face | fml | monster | pile | poo | poop | smelly | smh | stink | stinks | stinky | turd,face costume,Smileys & Emotion,face-costume,pile of poo
💪,flexed biceps,arm | beast | bench | biceps | bodybuilder | bro | curls | dark skin tone | flex | gains | gym | jacked | muscle | press | ripped | strong | weightlift,flexed biceps | arm | beast | bench | biceps | bodybuilder | bro | curls | dark skin tone | flex | gains | gym | jacked | muscle | press | ripped | strong | weightlift,body parts,People & Body,body-parts,flexed biceps
💫,dizzy,comic | dizzy | shining | shooting | star | stars,dizzy | comic | dizzy | shining | shooting | star | stars,emotion,Smileys & Emotion,emotion,dizzy
💬,speech balloon,balloon | bubble | comic | dialog | message | sms | speech | talk | text | typing,speech balloon | balloon | bubble | comic | dialog | message | sms | speech | talk | text | typing,emotion,Smileys & Emotion,emotion,speech balloon
💭,thought balloon,balloon | bubble | cartoon | cloud | comic | daydream | decisions | dream | idea | invent | invention | realize | think | thoughts | wonder,thought balloon | balloon | bubble | cartoon | cloud | comic | daydream | decisions | dream | idea | invent | invention | realize | think | thoughts | wonder,emotion,Smileys & Emotion,emotion,thought balloon
💮,white flower,flower | white,white flower | flower | white,plant flower,Animals & Nature,plant-flower,white flower
💯,hundred points,100 | a+ | agree | clearly | definitely | faithful | fleek | full | hundred | keep | perfect | point | score | TRUE | truth | yup,hundred points | 100 | a+ | agree | clearly | definitely | faithful | fleek | full | hundred | keep | perfect | point | score | TRUE | truth | yup,emotion,Smileys & Emotion,emotion,hundred points
💰,money bag,bag | bank | bet | billion | cash | cost | dollar | gold | million | money | moneybag | paid | paying | pot | rich | win,money bag | bag | bank | bet | billion | cash | cost | dollar | gold | million | money | moneybag | paid | paying | pot | rich | win,money,Objects,money,money bag
💱,currency exchange,bank | currency | exchange | money,currency exchange | bank | currency | exchange | money,currency,Symbols,currency,currency exchange
💲,heavy dollar sign,billion | cash | charge | currency | dollar | heavy | million | money | pay | sign,heavy dollar sign | billion | cash | charge | currency | dollar | heavy | million | money | pay | sign,currency,Symbols,currency,heavy dollar sign
💳,credit card,bank | card | cash | charge | credit | money | pay,credit card | bank | card | cash | charge | credit | money | pay,money,Objects,money,credit card
💴,yen banknote,bank | banknote | bill | currency | money | note | yen,yen banknote | bank | banknote | bill | currency | money | note | yen,money,Objects,money,yen banknote
💵,dollar banknote,bank | banknote | bill | currency | dollar | money | note,dollar banknote | bank | banknote | bill | currency | dollar | money | note,money,Objects,money,dollar banknote
💶,euro banknote,100 | bank | banknote | bill | currency | euro | money | note | rich,euro banknote | 100 | bank | banknote | bill | currency | euro | money | note | rich,money,Objects,money,euro banknote
💷,pound banknote,bank | banknote | bill | billion | cash | currency | money | note | pound | pounds,pound banknote | bank | banknote | bill | billion | cash | currency | money | note | pound | pounds,money,Objects,money,pound banknote
💸,money with wings,bank | banknote | bill | billion | cash | dollar | fly | million | money | note | pay | wings,money with wings | bank | banknote | bill | billion | cash | dollar | fly | million | money | note | pay | wings,money,Objects,money,money with wings
💹,chart increasing with yen,bank | chart | currency | graph | growth | increasing | market | money | rise | trend | upward | yen,chart increasing with yen | bank | chart | currency | graph | growth | increasing | market | money | rise | trend | upward | yen,money,Objects,money,chart increasing with yen
💺,seat,chair | seat,seat | chair | seat,transport air,Travel & Places,transport-air,seat
💻,laptop,computer | laptop | office | pc | personal,laptop | computer | laptop | office | pc | personal,computer,Objects,computer,laptop
💼,briefcase,briefcase | office,briefcase | briefcase | office,office,Objects,office,briefcase
💽,computer disk,computer | disk | minidisk | optical,computer disk | computer | disk | minidisk | optical,computer,Objects,computer,computer disk
💾,floppy disk,computer | disk | floppy,floppy disk | computer | disk | floppy,computer,Objects,computer,floppy disk
💿,optical disk,blu-ray | CD | computer | disk | dvd | optical,optical disk | blu-ray | CD | computer | disk | dvd | optical,computer,Objects,computer,optical disk
📀,dvd,Blu-ray | cd | computer | disk | DVD | optical,dvd | Blu-ray | cd | computer | disk | DVD | optical,computer,Objects,computer,dvd
📁,file folder,file | folder,file folder | file | folder,office,Objects,office,file folder
📂,open file folder,file | folder | open,open file folder | file | folder | open,office,Objects,office,open file folder
📃,page with curl,curl | document | page | paper,page with curl | curl | document | page | paper,book paper,Objects,book-paper,page with curl
📄,page facing up,document | facing | page | paper | up,page facing up | document | facing | page | paper | up,book paper,Objects,book-paper,page facing up
📅,calendar,calendar | date,calendar | calendar | date,office,Objects,office,calendar
📆,tear-off calendar,calendar | tear-off,tear-off calendar | calendar | tear-off,office,Objects,office,tear-off calendar
📇,card index,card | index | old | rolodex | school,card index | card | index | old | rolodex | school,office,Objects,office,card index
📈,chart increasing,chart | data | graph | growth | increasing | right | trend | up | upward,chart increasing | chart | data | graph | growth | increasing | right | trend | up | upward,office,Objects,office,chart increasing
📉,chart decreasing,chart | data | decreasing | down | downward | graph | negative | trend,chart decreasing | chart | data | decreasing | down | downward | graph | negative | trend,office,Objects,office,chart decreasing
📊,bar chart,bar | chart | data | graph,bar chart | bar | chart | data | graph,office,Objects,office,bar chart
📋,clipboard,clipboard | do | list | notes,clipboard | clipboard | do | list | notes,office,Objects,office,clipboard
📌,pushpin,collage | pin | pushpin,pushpin | collage | pin | pushpin,office,Objects,office,pushpin
📍,round pushpin,location | map | pin | pushpin | round,round pushpin | location | map | pin | pushpin | round,office,Objects,office,round pushpin
📎,paperclip,paperclip,paperclip | paperclip,office,Objects,office,paperclip
📏,straight ruler,angle | edge | math | ruler | straight | straightedge,straight ruler | angle | edge | math | ruler | straight | straightedge,office,Objects,office,straight ruler
📐,triangular ruler,angle | math | rule | ruler | set | slide | triangle | triangular,triangular ruler | angle | math | rule | ruler | set | slide | triangle | triangular,office,Objects,office,triangular ruler
📑,bookmark tabs,bookmark | mark | marker | tabs,bookmark tabs | bookmark | mark | marker | tabs,book paper,Objects,book-paper,bookmark tabs
📒,ledger,ledger | notebook,ledger | ledger | notebook,book paper,Objects,book-paper,ledger
📓,notebook,notebook,notebook | notebook,book paper,Objects,book-paper,notebook
📔,notebook with decorative cover,book | cover | decorated | decorative | education | notebook | school | writing,notebook with decorative cover | book | cover | decorated | decorative | education | notebook | school | writing,book paper,Objects,book-paper,notebook with decorative cover
📕,closed book,book | closed | education,closed book | book | closed | education,book paper,Objects,book-paper,closed book
📖,open book,book | education | fantasy | knowledge | library | novels | open | reading,open book | book | education | fantasy | knowledge | library | novels | open | reading,book paper,Objects,book-paper,open book
📗,green book,book | education | fantasy | green | library | reading,green book | book | education | fantasy | green | library | reading,book paper,Objects,book-paper,green book
📘,blue book,blue | book | education | fantasy | library | reading,blue book | blue | book | education | fantasy | library | reading,book paper,Objects,book-paper,blue book
📙,orange book,book | education | fantasy | library | orange | reading,orange book | book | education | fantasy | library | orange | reading,book paper,Objects,book-paper,orange book
📚,books,book | books | education | fantasy | knowledge | library | novels | reading | school | study,books | book | books | education | fantasy | knowledge | library | novels | reading | school | study,book paper,Objects,book-paper,books
📛,name badge,badge | name,name badge | badge | name,symbols,Symbols,other-symbol,name badge
📜,scroll,paper | scroll,scroll | paper | scroll,book paper,Objects,book-paper,scroll
📝,memo,communication | media | memo | notes | pencil,memo | communication | media | memo | notes | pencil,writing,Objects,writing,memo
📞,telephone receiver,communication | phone | receiver | telephone | voip,telephone receiver | communication | phone | receiver | telephone | voip,phone,Objects,phone,telephone receiver
📟,pager,communication | pager,pager | communication | pager,phone,Objects,phone,pager
📠,fax machine,communication | fax | machine,fax machine | communication | fax | machine,phone,Objects,phone,fax machine
📡,satellite antenna,aliens | antenna | contact | dish | satellite | science,satellite antenna | aliens | antenna | contact | dish | satellite | science,science,Objects,science,satellite antenna
📢,loudspeaker,address | communication | loud | loudspeaker | public | sound,loudspeaker | address | communication | loud | loudspeaker | public | sound,sound,Objects,sound,loudspeaker
📣,megaphone,cheering | megaphone | sound,megaphone | cheering | megaphone | sound,sound,Objects,sound,megaphone
📤,outbox tray,box | email | letter | mail | outbox | sent | tray,outbox tray | box | email | letter | mail | outbox | sent | tray,mail,Objects,mail,outbox tray
📥,inbox tray,box | email | inbox | letter | mail | receive | tray | zero,inbox tray | box | email | inbox | letter | mail | receive | tray | zero,mail,Objects,mail,inbox tray
📦,package,box | communication | delivery | package | parcel | shipping,package | box | communication | delivery | package | parcel | shipping,mail,Objects,mail,package
📧,e-mail,e-mail | email | letter | mail,e-mail | e-mail | email | letter | mail,mail,Objects,mail,e-mail
📨,incoming envelope,delivering | e-mail | email | envelope | incoming | letter | mail | receive | sent,incoming envelope | delivering | e-mail | email | envelope | incoming | letter | mail | receive | sent,mail,Objects,mail,incoming envelope
📩,envelope with arrow,arrow | communication | down | e-mail | email | envelope | letter | mail | outgoing | send | sent,envelope with arrow | arrow | communication | down | e-mail | email | envelope | letter | mail | outgoing | send | sent,mail,Objects,mail,envelope with arrow
📪,closed mailbox with lowered flag,closed | flag | lowered | mail | mailbox | postbox,closed mailbox with lowered flag | closed | flag | lowered | mail | mailbox | postbox,mail,Objects,mail,closed mailbox with lowered flag
📫,closed mailbox with raised flag,closed | communication | flag | mail | mailbox | postbox | raised,closed mailbox with raised flag | closed | communication | flag | mail | mailbox | postbox | raised,mail,Objects,mail,closed mailbox with raised flag
📬,open mailbox with raised flag,flag | mail | mailbox | open | postbox | raised,open mailbox with raised flag | flag | mail | mailbox | open | postbox | raised,mail,Objects,mail,open mailbox with raised flag
📭,open mailbox with lowered flag,flag | lowered | mail | mailbox | open | postbox,open mailbox with lowered flag | flag | lowered | mail | mailbox | open | postbox,mail,Objects,mail,open mailbox with lowered flag
📮,postbox,mail | mailbox | postbox,postbox | mail | mailbox | postbox,mail,Objects,mail,postbox
📯,postal horn,horn | post | postal,postal horn | horn | post | postal,sound,Objects,sound,postal horn
📰,newspaper,communication | news | newspaper | paper,newspaper | communication | news | newspaper | paper,book paper,Objects,book-paper,newspaper
📱,mobile phone,cell | communication | mobile | phone | telephone,mobile phone | cell | communication | mobile | phone | telephone,phone,Objects,phone,mobile phone
📲,mobile phone with arrow,arrow | build | call | cell | communication | mobile | phone | receive | telephone,mobile phone with arrow | arrow | build | call | cell | communication | mobile | phone | receive | telephone,phone,Objects,phone,mobile phone with arrow
📳,vibration mode,cell | communication | mobile | mode | phone | telephone | vibration,vibration mode | cell | communication | mobile | mode | phone | telephone | vibration,av symbol,Symbols,av-symbol,vibration mode
📴,mobile phone off,cell | mobile | off | phone | telephone,mobile phone off | cell | mobile | off | phone | telephone,av symbol,Symbols,av-symbol,mobile phone off
📵,no mobile phones,cell | forbidden | mobile | no | not | phone | phones | prohibited | telephone,no mobile phones | cell | forbidden | mobile | no | not | phone | phones | prohibited | telephone,warning,Symbols,warning,no mobile phones
📶,antenna bars,antenna | bar | bars | cell | communication | mobile | phone | signal | telephone,antenna bars | antenna | bar | bars | cell | communication | mobile | phone | signal | telephone,av symbol,Symbols,av-symbol,antenna bars
📷,camera,camera | photo | selfie | snap | tbt | trip | video,camera | camera | photo | selfie | snap | tbt | trip | video,light and video,Objects,light & video,camera
📸,camera with flash,camera | flash | video,camera with flash | camera | flash | video,light and video,Objects,light & video,camera with flash
📹,video camera,camcorder | camera | tbt | video,video camera | camcorder | camera | tbt | video,light and video,Objects,light & video,video camera
📺,television,television | tv | video,television | television | tv | video,light and video,Objects,light & video,television
📻,radio,entertainment | radio | tbt | video,radio | entertainment | radio | tbt | video,music,Objects,music,radio
📼,videocassette,old | school | tape | vcr | vhs | video | videocassette,videocassette | old | school | tape | vcr | vhs | video | videocassette,light and video,Objects,light & video,videocassette
📽,film projector,cinema | film | movie | projector | video,film projector | cinema | film | movie | projector | video,light and video,Objects,light & video,film projector
📿,prayer beads,beads | clothing | necklace | prayer | religion,prayer beads | beads | clothing | necklace | prayer | religion,clothing,Objects,clothing,prayer beads
🔀,shuffle tracks button,arrow | button | crossed | shuffle | tracks,shuffle tracks button | arrow | button | crossed | shuffle | tracks,av symbol,Symbols,av-symbol,shuffle tracks button
🔁,repeat button,arrow | button | clockwise | repeat,repeat button | arrow | button | clockwise | repeat,av symbol,Symbols,av-symbol,repeat button
🔂,repeat single button,arrow | button | clockwise | once | repeat | single,repeat single button | arrow | button | clockwise | once | repeat | single,av symbol,Symbols,av-symbol,repeat single button
🔃,clockwise vertical arrows,arrow | arrows | clockwise | refresh | reload | vertical,clockwise vertical arrows | arrow | arrows | clockwise | refresh | reload | vertical,arrow,Symbols,arrow,clockwise vertical arrows
🔄,counterclockwise arrows button,again | anticlockwise | arrow | arrows | button | counterclockwise | deja | refresh | rewindershins | vu,counterclockwise arrows button | again | anticlockwise | arrow | arrows | button | counterclockwise | deja | refresh | rewindershins | vu,arrow,Symbols,arrow,counterclockwise arrows button
🔅,dim button,brightness | button | dim | low,dim button | brightness | button | dim | low,av symbol,Symbols,av-symbol,dim button
🔆,bright button,bright | brightness | button | light,bright button | bright | brightness | button | light,av symbol,Symbols,av-symbol,bright button
🔇,muted speaker,mute | muted | quiet | silent | sound | speaker,muted speaker | mute | muted | quiet | silent | sound | speaker,sound,Objects,sound,muted speaker
🔈,speaker low volume,low | soft | sound | speaker | volume,speaker low volume | low | soft | sound | speaker | volume,sound,Objects,sound,speaker low volume
🔉,speaker medium volume,medium | sound | speaker | volume,speaker medium volume | medium | sound | speaker | volume,sound,Objects,sound,speaker medium volume
🔊,speaker high volume,high | loud | music | sound | speaker | volume,speaker high volume | high | loud | music | sound | speaker | volume,sound,Objects,sound,speaker high volume
🔋,battery,battery,battery | battery,computer,Objects,computer,battery
🔌,electric plug,electric | electricity | plug,electric plug | electric | electricity | plug,computer,Objects,computer,electric plug
🔍,magnifying glass tilted left,glass | lab | left | left-pointing | magnifying | science | search | tilted | tool,magnifying glass tilted left | glass | lab | left | left-pointing | magnifying | science | search | tilted | tool,light and video,Objects,light & video,magnifying glass tilted left
🔎,magnifying glass tilted right,contact | glass | lab | magnifying | right | right-pointing | science | search | tilted | tool,magnifying glass tilted right | contact | glass | lab | magnifying | right | right-pointing | science | search | tilted | tool,light and video,Objects,light & video,magnifying glass tilted right
🔏,locked with pen,ink | lock | locked | nib | pen | privacy,locked with pen | ink | lock | locked | nib | pen | privacy,lock,Objects,lock,locked with pen
🔐,locked with key,bike | closed | key | lock | locked | secure,locked with key | bike | closed | key | lock | locked | secure,lock,Objects,lock,locked with key
🔑,key,key | keys | lock | major | password | unlock,key | key | keys | lock | major | password | unlock,lock,Objects,lock,key
🔒,locked,closed | lock | locked | private,locked | closed | lock | locked | private,lock,Objects,lock,locked
🔓,unlocked,cracked | lock | open | unlock | unlocked,unlocked | cracked | lock | open | unlock | unlocked,lock,Objects,lock,unlocked
🔔,bell,bell | break | church | sound,bell | bell | break | church | sound,sound,Objects,sound,bell
🔕,bell with slash,bell | forbidden | mute | no | not | prohibited | quiet | silent | slash | sound,bell with slash | bell | forbidden | mute | no | not | prohibited | quiet | silent | slash | sound,sound,Objects,sound,bell with slash
🔖,bookmark,bookmark | mark,bookmark | bookmark | mark,book paper,Objects,book-paper,bookmark
🔗,link,link | links,link | link | links,tool,Objects,tool,link
🔘,radio button,button | geometric | radio,radio button | button | geometric | radio,geometric,Symbols,geometric,radio button
🔙,BACK arrow,arrow | BACK,BACK arrow | arrow | BACK,arrow,Symbols,arrow,BACK arrow
🔚,END arrow,arrow | END,END arrow | arrow | END,arrow,Symbols,arrow,END arrow
🔛,ON! arrow,arrow | mark | ON!,ON! arrow | arrow | mark | ON!,arrow,Symbols,arrow,ON! arrow
🔜,SOON arrow,arrow | brb | omw | SOON,SOON arrow | arrow | brb | omw | SOON,arrow,Symbols,arrow,SOON arrow
🔝,TOP arrow,arrow | homie | TOP | up,TOP arrow | arrow | homie | TOP | up,arrow,Symbols,arrow,TOP arrow
🔞,no one under eighteen,18 | age | eighteen | forbidden | no | not | one | prohibited | restriction | underage,no one under eighteen | 18 | age | eighteen | forbidden | no | not | one | prohibited | restriction | underage,warning,Symbols,warning,no one under eighteen
🔟,keycap: 10,keycap,keycap: 10 | keycap,keycap,Symbols,keycap,keycap: 10
🔠,input latin uppercase,ABCD | input | latin | letters | uppercase,input latin uppercase | ABCD | input | latin | letters | uppercase,alphanum,Symbols,alphanum,input latin uppercase
🔡,input latin lowercase,abcd | input | latin | letters | lowercase,input latin lowercase | abcd | input | latin | letters | lowercase,alphanum,Symbols,alphanum,input latin lowercase
🔢,input numbers,1234 | input | numbers,input numbers | 1234 | input | numbers,alphanum,Symbols,alphanum,input numbers
🔣,input symbols,& | % | ♪ | 〒 | input | symbols,input symbols | & | % | ♪ | 〒 | input | symbols,alphanum,Symbols,alphanum,input symbols
🔤,input latin letters,abc | alphabet | input | latin | letters,input latin letters | abc | alphabet | input | latin | letters,alphanum,Symbols,alphanum,input latin letters
🔥,fire,af | burn | fire | flame | hot | lit | litaf | tool,fire | af | burn | fire | flame | hot | lit | litaf | tool,sky and weather,Travel & Places,sky & weather,fire
🔦,flashlight,electric | flashlight | light | tool | torch,flashlight | electric | flashlight | light | tool | torch,light and video,Objects,light & video,flashlight
🔧,wrench,home | improvement | spanner | tool | wrench,wrench | home | improvement | spanner | tool | wrench,tool,Objects,tool,wrench
🔨,hammer,hammer | home | improvement | repairs | tool,hammer | hammer | home | improvement | repairs | tool,tool,Objects,tool,hammer
🔩,nut and bolt,bolt | home | improvement | nut | tool,nut and bolt | bolt | home | improvement | nut | tool,tool,Objects,tool,nut and bolt
🔪,kitchen knife,chef | cooking | hocho | kitchen | knife | tool | weapon,kitchen knife | chef | cooking | hocho | kitchen | knife | tool | weapon,dishware,Food & Drink,dishware,kitchen knife
🔫,water pistol,gun | handgun | pistol | revolver | tool | water | weapon,water pistol | gun | handgun | pistol | revolver | tool | water | weapon,game,Activities,game,water pistol
🔬,microscope,experiment | lab | microscope | science | tool,microscope | experiment | lab | microscope | science | tool,science,Objects,science,microscope
🔭,telescope,contact | extraterrestrial | science | telescope | tool,telescope | contact | extraterrestrial | science | telescope | tool,science,Objects,science,telescope
🔮,crystal ball,ball | crystal | fairy | fairytale | fantasy | fortune | future | magic | tale | tool,crystal ball | ball | crystal | fairy | fairytale | fantasy | fortune | future | magic | tale | tool,game,Activities,game,crystal ball
